n_fitting,4
Time taken for platform 211130,0:01:06.388888
Time taken for platform 212624,0:00:18.881100
Time taken for platform 213348,0:00:07.953203
Time taken for platform 301742,0:00:35.299447
Time taken for platform 312224,0:01:31.663308
Time taken for platform 312234,0:01:27.946198
Time taken for platform 312312,0:00:33.539851
Time taken for platform 312400,0:00:14.623048
Time taken for platform 312402,0:01:12.289189
Time taken for platform 312413,0:00:49.823354
Time taken for platform 312435,0:02:00.205403
Time taken for platform 312485,0:00:00.523399
Time taken for platform 313122,0:00:28.908026
Time taken for platform 10312820,0:02:24.321403
Time taken for platform 10312916,0:01:45.410893
